,control_x,control_y,strychnine_x,strychnine_y
253,1.2600000000000007,0.0,1.2600000000000007,0.0
254,1.2800000000000002,0.0,1.2800000000000002,0.0
255,1.3000000000000007,0.0,1.3000000000000007,0.0
256,1.3200000000000003,0.0,1.3200000000000003,0.0
257,1.3399999999999999,0.0,1.3399999999999999,0.0
258,1.3600000000000003,0.0,1.3600000000000003,0.0
259,1.38,0.0,1.38,0.0
260,1.4000000000000004,0.0,1.4000000000000004,0.0
261,1.42,0.0,1.42,0.0
262,1.4400000000000004,0.0,1.4400000000000004,0.0
263,1.46,0.0,1.46,0.0
264,1.4800000000000004,0.0,1.4800000000000004,0.0
265,1.5,0.0,1.5,0.0
266,1.5200000000000005,0.0,1.5200000000000005,0.0
267,1.54,0.0,1.54,0.0
268,1.5600000000000005,0.0,1.5600000000000005,0.0
269,1.58,0.0,1.58,0.0
270,1.6000000000000005,0.0,1.6000000000000005,0.0
271,1.62,0.0,1.62,0.0
272,1.6400000000000006,0.0,1.6400000000000006,0.0
273,1.6600000000000001,0.0,1.6600000000000001,0.0
274,1.6800000000000006,0.0,1.6800000000000006,0.0
275,1.7000000000000002,0.0,1.7000000000000002,0.0
276,1.7200000000000006,0.0,1.7200000000000006,0.0
277,1.7400000000000002,0.0,1.7400000000000002,0.0
278,1.7600000000000007,0.0,1.7600000000000007,0.0
279,1.7800000000000002,0.0,1.7800000000000002,0.0
280,1.8000000000000007,0.0,1.8000000000000007,0.0
281,1.8200000000000003,0.0,1.8200000000000003,0.0
282,1.8399999999999999,0.0,1.8399999999999999,0.0
283,1.8600000000000003,0.0,1.8600000000000003,0.0
284,1.88,0.0,1.88,0.0
285,1.9000000000000004,0.0,1.9000000000000004,0.0
286,1.92,0.0,1.92,0.0
287,1.9400000000000004,0.0,1.9400000000000004,0.0
288,1.96,0.0,1.96,0.8333333333333333
289,1.9800000000000004,0.0,1.9800000000000004,0.8333333333333333
290,2.0,0.0,2.0,0.8333333333333333
291,2.0200000000000005,0.0,2.0200000000000005,0.8333333333333333
292,2.04,0.0,2.04,0.0
293,2.0600000000000005,0.0,2.0600000000000005,0.0
294,2.08,0.0,2.08,0.0
295,2.1000000000000005,0.0,2.1000000000000005,0.0
