,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
185,-1.0899999999999999,0.0,-1.0899999999999999,0.0,-1.0899999999999999,0.0,-1.0899999999999999,0.0,-1.0899999999999999,0.0
186,-1.0799999999999998,0.0,-1.0799999999999998,0.0,-1.0799999999999998,0.0,-1.0799999999999998,0.0,-1.0799999999999998,0.0
187,-1.0699999999999998,0.0,-1.0699999999999998,0.0,-1.0699999999999998,0.0,-1.0699999999999998,0.0,-1.0699999999999998,0.0
188,-1.0599999999999998,0.0,-1.0599999999999998,0.0,-1.0599999999999998,0.0,-1.0599999999999998,0.0,-1.0599999999999998,0.0
189,-1.0499999999999998,0.0,-1.0499999999999998,0.0,-1.0499999999999998,0.0,-1.0499999999999998,0.0,-1.0499999999999998,0.0
190,-1.0399999999999998,0.0,-1.0399999999999998,0.0,-1.0399999999999998,0.0,-1.0399999999999998,0.0,-1.0399999999999998,0.0
191,-1.0299999999999998,0.0,-1.0299999999999998,0.0,-1.0299999999999998,0.0,-1.0299999999999998,0.0,-1.0299999999999998,0.0
192,-1.02,0.0,-1.02,0.0,-1.02,0.0,-1.02,0.0,-1.02,0.0
193,-1.01,0.0,-1.01,0.0,-1.01,0.0,-1.01,0.0,-1.01,0.0
194,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
195,-0.99,0.0,-0.99,0.0,-0.99,0.0,-0.99,0.0,-0.99,0.0
196,-0.98,0.0,-0.98,0.0,-0.98,0.0,-0.98,0.0,-0.98,0.0
197,-0.97,0.0,-0.97,0.0,-0.97,0.0,-0.97,0.0,-0.97,0.0
198,-0.96,0.0,-0.96,0.0,-0.96,0.0,-0.96,0.0,-0.96,0.0
199,-0.95,0.0,-0.95,0.0,-0.95,0.0,-0.95,0.0,-0.95,0.0
200,-0.94,0.0,-0.94,0.0,-0.94,0.0,-0.94,0.0,-0.94,0.0
201,-0.9299999999999997,0.0,-0.9299999999999997,0.0,-0.9299999999999997,0.0,-0.9299999999999997,0.0,-0.9299999999999997,0.0
202,-0.9199999999999999,0.0,-0.9199999999999999,0.0,-0.9199999999999999,0.0,-0.9199999999999999,0.0,-0.9199999999999999,0.0
203,-0.9099999999999997,0.0,-0.9099999999999997,0.0,-0.9099999999999997,0.0,-0.9099999999999997,0.0,-0.9099999999999997,0.0
